Lon,Lat,Clave,Edo,Est,Tmax
-91.76,18.65,CARCA,CAMP,CIUDAD DEL CARMEN,26.6
-104.75,23.95,CGVDR,DGO,CIUDAD GUADALUPE VICTORIA,21.5
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,24.3
-103.52,25.53,CLRDR,DGO,CIUDAD LERDO,19.9
-99.92,22.58,CIUDADMANTE,TAMPS,CIUDAD MANTE,24.9
-109.93,27.5,COBSO,SON,CIUDAD OBREGON,30.4
-97.43,18.98,CDSPB,PUE,CIUDAD SERDAN,19.2
-99.18,23.73,CVTTP,TAMPS,CIUDAD VICTORIA GERENCIA,22.9
-99.16,23.71,CVCTP,TAMPS,CIUDAD VICTORIA OBSERVATORIO,21.7
-94.51,18.19,76741,VER,COATZACOALCOS,24.7
-94.4,18.1,COTVC,VER,COATZACOALCOS,24.7
-109.61,27.41,CCRSO,SON,COCORAQUE,30.3
-103.72,19.24,76658,COL,COLIMA,32.8
-92.13,16.23,76848,CHIS,COMITAN,21.4
-92.1,16.2,COOCP,CHIS,COMITAN OBSV.,21.8
-97.81,25.63,CONTP,TAMPS,CONTROL,21.1
-103.8,19.21,CQMCM,COL,COQUIMATLAN,32.4
-98.93,23.93,CORTP,TAMPS,CORONA,22.3
-100.95,20.48,CRTGJ,GTO,CORTAZAR,23.8
-102.3,22.36,CSOAG,AGS,COSIO,16.9
-103.46,25.54,CYTCL,COAH,COYOTE,24.2
-86.95,20.41,COZQR,QROO,COZUMEL,31.1
-92.14,16.72,CREDCOMITAN,CHIS,CRED COMITAN,21.2
-103.6,19.32,CUACM,COL,CUAHTEMOC,29.6
-98.41,16.47,CNLGR,GRO,CUAJINICUILAPA,33.9
-97.73,19.29,CUATL,TLAX,CUAPIAXTLA,21.2
-102.06,26.98,CCGCL,COAH,CUATRO CIENEGAS,20.5
-103.69,24.87,CNCDR,DGO,CUENCAME,23.9
-101.66,20.61,CRMGJ,GTO,CUERAMARO,24.8
-99.2,18.9,CUEMR,MOR,CUERNAVACA,24.6
-107.4,24.81,CLCSI,SIN,CULIACAN,29.0
-107.44,24.63,76412,SIN,CULIACÁN,29.8
-103.88,19.11,DJLCM,COL,DERIVADORA JALA,32.2
