Lon,Lat,Clave,Edo,Est,Tmax
-97.78,20.88,SBTVC,VER,SOMBRERETE,24.2
-103.64,23.64,SOMZC,ZAC,SOMBRERETE,21.3
-112.85,31.86,NYNSO,SON,SONOYTA,24.9
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,23.5
-98.21,23.76,SLMTP,TAMPS,SOTO LA MARINA,23.9
-112.25,27.28,76253,BCS,STA. ROSALIA,22.8
-108.77,26.07,SFRSI,SIN,SUFRAGIO,29.8
-98.42,22.42,TMSTP,TAMPS,TAMESI,23.6
-97.86,22.2,76548,TAMPS,TAMPICO,22.7
-98.77,22,TMISL,SLP,TAMUIN,24.1
-89.05,20.18,TNTYC,YUC,TANTAKIN (EHCA),28.8
-92.25,14.92,76903,CHIS,TAPACHULA,34.7
-92.18,14.9,TAPCP,CHIS,TAPACHULA,34.7
-92.81,17.46,TAPTB,TAB,TAPIJULAPA,27.1
-100.75,20.28,TARGJ,GTO,TARIMORO,24.9
-99.38,19.83,TXMHD,HGO,TAXHIMAY,21.9
-102.87,22.1,TAYZC,ZAC,TAYAHUA,24.7
-92.96,17.56,TEATB,TAB,TEAPA,28.6
-97.71,18.88,TECPB,PUE,TECAMACHALCO,21.6
-103.88,18.92,TCMCM,COL,TECOMAN,36.0
-101.3,20.6,TEMGJ,GTO,TEMASCATIO,25.2
-107.82,28.95,76220,CHIH,TEMOSACHIC,18.9
-107.85,28.95,TMCCH,CHIH,TEMOSACHIC,19.3
-98.38,21.51,TMPVC,VER,TEMPOAL,23.4
-103.19,22.17,TENJL,JAL,TENASCO,25.3
-96.55,19.81,TNCVC,VER,TENOCHTITLAN,22.5
-102.58,21.45,TCAJL,JAL,TEOCALTICHE,26.9
-99.84,18.58,TPLMR,MOR,TEPALCINGO,29.2
-97.79,20,TDRPB,PUE,TEPANGO DE RODRIGUEZ,21.4
-97.45,19.48,TPYPB,PUE,TEPEYAHUALCO,21.2
-104.89,21.49,76556,NAY,TEPIC,28.6
-104.85,21.48,TEPNR,NAY,TEPIC,28.7
-109.21,27.65,TSOSO,SON,TESOCOMA,30.9
-97.81,19.83,TEOPB,PUE,TETELA DE OCAMPO,16.8
-97.35,19.81,TEZPB,PUE,TEZIUTLAN,17.5
-98.85,21.24,TBLSL,SLP,TIERRA BLANCA,22.4
-96.35,18.45,TBLVC,VER,TIERRA BLANCA,25.5
-88.16,21.15,TIZYC,YUC,TIZIMIN,26.3
-99.97,17.78,TLAGR,GRO,TLACOTEPEC,19.9
-102.79,21.56,TLAZC,ZAC,TLALCHICHILA,21.6
-99.97,17.78,TLPGR,GRO,TLAPA,29.8
-103.31,20.58,TLAJL,JAL,TLAQUEPAQUE,26.4
-98.24,19.31,76683,TLAX,TLAXCALA,22.1
-99.71,19.29,76675,MEX,TOLUCA,21.8
-103.43,21.52,76382,COAH,TORREON,22.6
-103.45,25.54,TORCL,COAH,TORREON OBSERVATORIO                *,22.6
-99.28,19.45,TTLMX,MEX,TOTOLICA (HIDROMETRICA),21.8
-103.39,18.96,TRJCM,COL,TROJES,29.0
-100.28,19.1,TROMX,MEX,TROJES,21.1
-98.36,20.08,76634,HGO,TULANCINGO,20.3
-98.36,20.08,TLGHD,HGO,TULANCINGO,20.5
-97.42,20.96,76640,VER,TUXPAN,21.6
-97.4,20.95,TXPVC,VER,TUXPAN,22.0
-93.1,16.76,TUXCP,CHIS,TUXTLA,27.1
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,26.7
-88.2,20.69,76647,YUC,VALLADOLID,28.5
-88.2,20.7,VALYC,YUC,VALLADOLID,28.5
-97.8,25.7,VHMTP,TAMPS,VALLE HERMOSO,18.1
-97.67,20.51,VENPB,PUE,VENUSTIANO CARRANZA,24.1
-96.14,19.16,76692,VER,VERACRUZ,25.3
-96.11,19.15,VERVC,VER,VERACRUZ,25.4
-97.8,25.9,VCATP,TAMPS,VILLA CARDENAS,19.6
-105.16,26.75,VICCH,CHIH,VILLA CORONADO,21.9
-101.72,22.35,VHGZC,ZAC,VILLA HIDALGO,19.2
-96.58,19.01,VTEVC,VER,VILLA TEJEDA,25.5
-92.93,17.98,76743,TAB,VILLAHERMOSA,26.7
-103.34,21.6,VILZC,ZAC,VILLITA,29.3
-96.94,19.52,XCFVC,VER,XALAPA CFE,18.4
-96.91,19.53,XOBVC,VER,XALAPA OBSERVATORIO,19.4
-98.48,17.9,XXHGR,GRO,XHOXIHUETLAN,31.0
-99.18,18.52,XICMR,MOR,XICATLACOTLA,28.2
-97.95,20.28,XDJPB,PUE,XICOTEPEC DE JUAREZ,16.6
-93.33,17.11,YAMCP,CHIS,YAMONHO,23.7
-108.92,28.37,YCRSO,SON,YECORA,22.8
-97.58,19.85,ZCPPB,PUE,ZACAPOAXTLA,16.5
-102.57,22.78,76525,ZAC,ZACATECAS,16.1
-102.58,22.76,ZACZC,ZAC,ZACATECAS,19.8
-99.2,18.63,ZCTMR,MOR,ZACATEPEC,29.9
-102.32,19.98,76662,MICH,ZAMORA,27.1
-102.29,20.04,ZAMMC,MICH,ZAMORA,27.5
-102.71,21.85,CALVILLO,AGS,CALVILLO AGS.,25.6
-105.5,28.17,DELICIAS,CHIH,CIUDAD DELICIAS CHIH.,21.7
-93.13,16.75,TXOCP,CHIS,TUXTLA GTZ OBSV.,26.4
-103.98,26.55,LAFLOR,DGO,LA FLOR DE JIMULCO DGO. AUTOMATICA,21.8
-99.58,20.5,HUICHAPAN,HGO,HUICHAPAN HGO.,20.7
-108.32,26.73,CHXSI,SIN,CHOIX ESTACION,33.6
-97.74,20.99,ALAVC,VER,ALAMO TEMAPACHE,21.9
-98.71,20.1,PCOHD,HGO,PACHUCA OBSERVATORIO,20.0
-92.23,15.77,SMICP,CHIS,SAN MIGUEL ,30.5
-92.82,16.93,SNACP,CHIS,SANTA MARÍA,24.9
-99.58,24.18,PVLTP,TAMPS,PUERTO DE VALLES,19.7
-99.55,24.23,PJMTP,TAMPS,PRESA PEDRO J. MENDEZ,20.8
-102.37,19.08,APAMC,MICH,APATZINGAN (EHCA),33.7
-92.91,17.5,SJOTB,TAB,SAN JOAQUIN,27.0
-97.78,17.8,HLOOX,OAX,HUAJ. DE LEON OBSERV,26.4
-107.53,25.33,BDRSI,SIN,BADIRAGUATO,33.1
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,17.7
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,23.8
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,18.1
-99.13,19.91,TTQMX,MEX,TAJO DE TQUIXQUIAC,20.7
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,31.8
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,24.2
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,30.8
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,31.3
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,23.6
-100.51,20.13,JCRGJ,GTO,JERECUARO,22.8
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,21.6
-100.62,20.45,APSGJ,GTO,APASEO EL ALTO,21.5
-100.81,20.83,IALGJ,GTO,IGNACIO ALLENDE,22.5
-101.83,21.05,BRRGJ,GTO,PRESA EL BARRIAL,23.0
-100.09,21.3,XICGJ,GTO,Xichu Gto.,23.6
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,19.7
-99,18.73,MYOMR,MOR,MOYOTEPEC,29.4
-98.14,22.98,AHLTP,TAMPS,AHUALULCO,24.0
-89.45,20.1,MOCYC,YUC,MOCOCHA,28.6
-98.06,19.09,CPLPB,PUE,CAPULAC,20.7
-107.92,27.22,URICH,CHIH,URIQUE CHIH (EHCA),29.2
-99.1,19.39,TEZDF,DF,TEZONTLE DF (EHCA),20.9
-97.25,17.44,NOCHISTLAN,OAX,NOCHISTLAN OAX,21.3
-98.37,21.15,HUEHD,HGO,HUEJUTLA HGO (EHCA),22.9
-105.13,20,RTOJL,JAL,RIO TOMATLAN (EHCA),30.3
-98.05,20.18,UDSPB,PUE,UNIVERSIDAD DE LA SIERRA,15.5
-102.46,22.18,ANVAG,AGS,CINCUENTA ANIVERSARIO,22.1
-98.86,19.64,SNLMX,MEX,SAN LUCAS,21.7
-104.91,27.11,JMNCH,CHIH,JIMENEZ,20.1
-101.23,21.2,CSTGJ,GTO,LOS CASTILLOS,24.6
-104.56,19.23,CIHJL,JAL,CIHUATLAN,33.3
-98.13,18.94,AFRPB,PUE,AFRICAM,23.0
-97.4,18.4,TEHPB,PUE,TEHUACAN,21.3
-103.85,25.82,MPMDR,DGO,MAPIMI,19.8
-100.17,23.68,DARNL,NL,DOCTOR ARROYO,21.0
-99.82,24.1,ARRNL,NL,ARAMBERRI,20.2
-99.91,24.32,ASCNL,NL,LA ASCENSION,16.1
-99.69,24.78,CRUNL,NL,LAS CRUCITAS,19.9
-100.08,24.83,GALNL,NL,GALEANA,16.3
-99.57,24.87,CAMNL,NL,CAMACHO,21.4
-99.38,24.97,CPRNL,NL,PRESA CERRO PRIETO,19.8
-99.44,24.98,CARNL,NL,CARMEN D.L.E.,21.3
-99.83,25.18,MTMNL,NL,MONTEMORELOS,20.0
-100.11,25.44,LBCNL,NL,CORTINA DE LA BOCA,19.0
-100.18,25.51,ECSNL,NL,EL CERRITO,19.4
-100.3,25.73,OBSNL,NL,OBSERVATORIO DE MONTERREY,21.1
-100,25.96,HGRNL,NL,HIGUERAS,19.0
-99.61,26.09,CRVNL,NL,CERRALVO,17.3
-92.75,17.39,OXOTB,TAB,OXOLOTAN,26.2
-100.27,25.8,CANNL,NL,EL CANADA,20.8
-91.48,17.43,LACCP,CHIS,LACANTUN,26.4
-92.92,17.98,EMUTB,TAB,EL MUELLE VILLAHERMOSA,26.8
-92.92,17.97,GABTB,TAB,GAVIOTAS II,26.2
-101.28,20.85,PRSGJ,GTO,PRESA LA PURISIMA,24.1
-101.2,20.56,SLMGJ,GTO,SALAMANCA,24.3
-101.13,20.21,LDYGJ,GTO,SANTA MARÍA YURIRIA,24.4
-101.45,20.31,CBLMC,MICH,CASA BLANCA,23.4
-107.91,27.21,URECH,CHIH,URIQUE ESTACION,32.8
-101.54,17.64,ZHTGR,GRO,ZIHUATANEJO,36.3
-98.91,19.57,GRDMX,MEX,LA GRANDE,20.6
-101.2,20.9,ECHGJ,GTO,EL CHAPIN,24.8
-96.53,17.88,SFUOX,OAX,SAN FELIPE USILA,23.0
-113.58,31.3,PT2SO,SON,PUERTO PEÑASCO,22.9
-104.12,26.06,CEBDR,DGO,CEBALLOS,21.3
-100.58,20.55,AMCGJ,GTO,AMECHE,23.3
-99.83,21.65,PMYSL,SLP,PEDRO MONTOYA (SAN CIRO),24.1
-105.5,26.44,VOCDR,DGO,VILLA OCAMPO,26.3
-103.87,19.17,LAECM,COL,La Esperanza Col.,33.7
-100.08,19.21,VALLEDEBRAVO,MEX,Valle de Bravo Méx. SMN*,20.6
-99.1,18.79,TICMR,MOR,Ticumán Mor.,26.4
-96.85,18.4,TLPPB,PUE,,25.9
-96.97,19.45,TAPVC,VER,Tapachapan ver.,18.6
-98.73,17.77,OLNGR,GRO,OLINALA,32.7
-100.8,20.5,TGRGJ,GTO,TRES GUERRAS,23.2
-98.91,19.53,SADMX,MEX,SAN ANDRES (TEXCOCO),20.9
-110.21,30,BNMSO,SON,BANAMICHI,24.0
-101.51,21.63,OCMGJ,GTO,OCAMPO,20.1
-100.87,21.1,PNLGJ,GTO,PEÑUELITAS,21.5
-100.81,20.05,SLSGJ,GTO,PRESA SOLIS,24.0
-100.5,20.2,ECBGJ,GTO,EL CUBO,24.3
-100.88,20.21,SLVGJ,GTO,SALVATIERRA,25.1
-101.06,20.3,SRTGJ,GTO,SANTA RITA,24.5
-101.02,20.4,SJLGJ,GTO,SANTA JULIA,25.1
-101.13,20.51,PERGJ,GTO,PERICOS,23.1
-101.36,20.73,ECNGJ,GTO,PRESA EL CONEJO,24.3
-100.93,21.15,DHGGJ,GTO,DOLORES HIDALGO,25.6
-101.66,21.16,EPLGJ,GTO,EL PALOTE,22.9
-103.37,20.67,GUAJL,JAL,GUADALAJARA CENTRO,23.9
-104.12,19.85,TMLJL,JAL,TRIGO MIL,26.3
-103.33,20.73,EXPJL,JAL,LA EXPERIENCIA,25.9
-99.09,19.48,GCNDF,DF,GRAN CANAL,20.2
-99.18,19.74,PCGMX,MEX,PUENTE COLGANTE,18.7
-94.16,17.57,TMOVC,VER,TIERRA MORADA,24.1
-96.33,19.15,MFAVC,VER,MANLIO FABIO ALTAMIRANO,27.0
-89.09,20.02,TANYC,YUC,TANTAKIN,26.9
-110.23,30.59,BCNSO,SON,BACANUCHI,23.5
-103.45,21.06,CXTJL,JAL,CUIXTLA,30.6
-96.87,19.65,NAOVC,VER,NAOLINCO,17.3
-100.02,16.96,LDCGR,GRO,LAGUNA DE COYUCA,29.6
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,32.3
-103.71,22.73,BCSJL,JAL,BOCAS,25.9
-101.7,21.5,CRTJL,JAL,PRESA EL CUARENTA,24.0
-105.38,27.58,COLINA,CHIH,COLINA. SAN FRANCISCO CONCHOS CHIH.,21.3
-99.42,18.6,HUAMR,MOR,HUAJINTLAN,29.8
-103.09,20.39,ATQJL,JAL,ATEQUIZA,26.0
-110.17,30.34,ARZSO,SON,ARIZPE,21.7
-97.76,21.23,TMTSL,SLP,TEMAMATLA,22.8
-98.15,24.84,FDOTP,TAMPS,SAN FERNANDO,20.7
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,23.9
-101.85,21.35,SAUJL,JAL,LA SAUCEDA,25.0
-98.88,19.48,CHPMX,MEX,CHAPINGO,22.5
-103.25,22.13,CLTJL,JAL,COLOTLAN,25.1
-110.95,31.32,NGLSO,SON,NOGALES,21.4
-108.2,28.2,BSSCH,CHIH,BASSASEACHIC,19.5
-108.93,30.35,BCRSO,SON,BACERAC,20.9
-101.68,22.63,SDHSL,SLP,SALINAS DE HIDALGO,27.3
-102.7,20.29,JMYJL,JAL,JAMAY,23.3
-103.31,21.77,TLLZC,ZAC,TLATENANGO,25.1
-107.07,26.81,GCCCH,CHIH,GUACHOCHI CHIH (EHCA),15.9
-93.08,16.67,CREDREVOLUCIONM,CHIS,CRED REVOLUCION MEXICANA,28.5
-101.85,19.83,ZCAMC,MICH,ZACAPU,25.8
-98.61,21.69,SVTSL,SLP,SAN VICENTE,22.4
-104.11,25.22,NZSDR,DGO,NAZAS,24.3
-100.23,19.98,TEPMC,MICH,PRESA TEPUXTEPEC,23.2
-99.22,19.47,MBLMX,MEX,MOLINO BLANCO,23.9
-98.44,23.72,PDMTP,TAMPS,PASO DE MOLINA,22.4
-100.57,25.27,SAACL,COAH,SAN ANTONIO DE LAS ALAZANAS,21.3
-114.72,29.73,CATAVINA,BC,CATAVIÑA BC,23.1
-102.67,21.99,CDRAG,AGS,LA CODORNIZ,24.0
-103.8,20.6,VEGJL,JAL,LA VEGA,27.3
-102.2,17.9,MOCMC,MICH,MELCHOR OCAMPO,22.3
-93.86,16.06,PAREDONMAR,CHIS,PAREDON SEMAR,31.6
-99.11,18.72,TLOMR,MOR,TLACOTEPEC ZACUALPAN,23.4
-106.38,26.46,RVGCH,CHIH,EL VERGEL,15.2
-100.5,21.22,POZGJ,GTO,Pozos Gto.,18.9
-102.9,18.8,LPNMC,MICH,LOS PANCHES,33.7
-99.4,18.8,RODMR,MOR,PRESA EL RODEO,29.4
-100.81,20.53,CLYGJ,GTO,CELAYA,24.6
-99.5,17.6,ODZGR,GRO,OBSERVATORIO DE ZUMPANGO,28.1
-92.4,14.7,PTOCHIAPASMAR,CHIS,PUERTO  CHIAPAS SEMAR,30.8
-100.94,19.55,AGOMC,MICH,AGOSTITLAN,19.8
-102.14,20,UREMC,MICH,UREPETIRO,21.2
-98.9,18.9,OAXMR,MOR,OAXTEPEC,26.2
-115.27,32.39,MXCBN,BC,MEXICALI,24.2
-97.64,19.31,ECTTL,TLAX,EL CARMEN TEQUEXQUITLA,19.4
-101.75,20.43,GLNGJ,GTO,PRESA LA GOLONDRINA,24.3
-101.86,20.2,CORMC,MICH,CORRALES,25.8
-115.19,32.41,ENLBN,BC,EJIDO NUEVO LEON                    *,26.1
-105.85,25.09,TORSI,SIN,Las Tortugas Sin.,33.8
-100.55,19.7,CHIMC,MICH,CIUDAD HIDALGO,23.1
-89.28,21.07,MTOYC,YUC,MOTUL,26.0
-103,22.64,JERZC,ZAC,JEREZ,23.8
-98.92,18.98,TOTMR,MOR,TOTOLOAPAN,24.0
-102.72,20.07,SAHMC,MICH,SAHUAYO,25.8
-99.26,18.85,SLDMR,MOR,SOLIDARIDAD                         ,23.5
-92.57,15.2,DESCP,CHIS,DESPOBLADO,34.2
-92.88,15.45,MAPCP,CHIS,MAPASTEPEC,34.4
-96.2,17.86,JACOX,OAX,JACATEPEC,25.3
-97.25,18.92,PCRPB,PUE,PASO CARRETAS,15.9
-97.82,19.62,IXTPB,PUE,Ixtacamaxtitlán Pue.,22.6
-95.03,17.43,JCRVC,VER,JESUS CARRANZA,25.2
-94.08,17.87,JDCVC,VER,SAN JOSÉ DEL CARMEN,25.8
-95.3,18.14,CTTVC,VER,COATOTOLAPAN,24.2
-95.35,18.25,LAUVC,VER,LAUCHAPAN,23.6
-97.23,18.92,LGRVC,VER,LOMA GRANDE,17.3
-96.15,19.06,ETEVC,VER,EL TEJAR,26.0
-96.95,19.18,HTSVC,VER,HUATUSCO,17.7
-96.94,19.58,BANVC,VER,BANDERILLAS,19.7
-93.27,16.23,VIFCP,CHIS,VILLAFLORES,26.3
-101.1,19.7,MCEMC,MICH,MORELIA CENTRO,23.1
-100.64,23.65,MATSL,SLP,MATEHUALA,21.9
-99.23,19.45,EMOMX,MEX,EL MOLINITO RIO HONDO,21.8
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,21.4
-98.9,18.8,CUAMR,MOR,CUAUTLA,27.4
-99.2,18.9,TEMMR,MOR,TEMIXCO,30.1
-94.73,17.95,JALVC,VER,JALTIPAN         *,25.3
-96.93,19.45,COAVC,VER,COATEPEC,20.3
-88.14,21.58,RLAYC,YUC,R.LAGARTO,27.2
-101.18,20.38,VDSGJ,GTO,V. DE SANTIAGO,22.1
-99.36,19.61,OBSMX,MEX,SAN MARTN OBISPO,20.5
-99,19.08,ATLMR,MOR,ATLATLAHUACAN ATLATLAH.,23.0
-99.18,17.61,CHLGR,GRO,CHILAPA,27.3
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,19.9
-103.6,22.69,LAFLORIDACFE,ZAC,La Florida Zac. CFE*,20.8
-99.53,17.17,TCOGR,GRO,TIERRA COLORADA,31.2
-102.7,19.9,GUAMC,MICH,GUARACHA,28.2
-102.27,19.97,CHAMC,MICH,CHAPARACO,23.7
-99.44,18.66,TILMR,MOR,El Tilcuate Mor.,29.2
-101.2,18.8,LPZMC,MICH,LOS PINZANES,34.0
-90.76,18.61,ESCARCEGA,CAMP,ESCARCEGA AUTOMATICA,27.8
-107.99,27.86,MAGCH,CHIH,MAGUARICHI CHIH (EHCA),21.5
-99.52,18.36,IGUALA,GRO,IGUALA GRO.,33.2
-101.72,20.13,ANGMC,MICH,ANGAMACUTIRO MICH. (EHCA),23.0
-88.92,18.46,NICOLASBRAVO,QROO,NICOLAS BRAVO Q. ROO,27.0
-111.83,28.75,BAHIAKINO,SON,BAHIA DE KINO,29.5
-102.51,22.75,ZA2ZC,ZAC,ZACATECAS ZAC (EHCA),19.6
-99.21,24.99,PAMNL,NL,LA PAMONA,22.4
-99.74,24.99,CABNL,NL,CABEZONES,20.4
-99.52,25.5,LERNL,NL,LAS ENRAMADAS,20.9
-100.16,25.95,CDFNL,NL,CIENEGA DE FLORES,19.5
-92.66,15.31,ESCCP,CHIS,ESCUINTLA,35.2
-92.61,16.74,SCRCP,CHIS,SAN CRISTOBAL CABAÑAS,18.1
-100,27.23,ANHNL,NL,ANAHUAC,18.5
-92.95,15.49,ELNCP,CHIS,EL NOVILLERO,34.6
-102.3,18.12,VILMC,MICH,PRESA LA VILLITA,33.8
-102.24,20.33,YURMC,MICH,YURECUARO,23.9
-99.4,18.6,AMCMR,MOR,AMACUZAC,31.9
-95.55,18.27,GARVC,VER,GARRO,25.8
-92.71,15.35,CACCP,CHIS,CACALUTA,32.5
-99.43,17.98,PETGR,GRO,PETAQUILLAS,28.0
-92.72,15.86,JAPCP,CHIS,JALTENANGO,29.2
-102.2,17.97,ADUMC,MICH,ADJUNTAS,26.7
-102.54,20.25,SCRMC,MICH,SAN CRISTOBAL,25.5
-101.28,19.62,COIMC,MICH,COINTZIO,24.2
-107.28,26.68,GRCCH,CHIH,GUERACHIC,29.9
-102.4,20.3,DGNMC,MICH,DE GONZALO,24.1
-98.75,20.59,LMTHD,HGO,METZTITLAN,24.7
-102.75,20.14,LPAMC,MICH,LA PALMA,23.3
-100.87,20.38,LGVGJ,GTO,P. LA GAVIA,24.3
-99.9,20.14,CNPMX,MEX,PRESA LA CONCEPCIÓN,20.6
-99.39,17.56,TXTGR,GRO,TIXTLA,25.8
-100.44,19.89,MRVMC,MICH,MARAVATIO,25.6
-102.75,19.18,CHLMC,MICH,P. CHILATAN,34.2
-101.05,19.52,PDBMC,MICH,PLANTA DE BOMBEO,23.5
-101.45,19.55,VJIMC,MICH,VILLA JIMENEZ,22.5
-101.2,19.7,MNOMC,MICH,MORELIA NORTE,24.9
-102.64,19.83,SJUMC,MICH,SAN JUANICO,25.1
-101.6,20.3,PORMC,MICH,PASTOR ORTIZ,21.7
-100.68,20.53,AEGGJ,GTO,APASEO EL GRANDE,27.0
-101.87,18.77,INFMC,MICH,PRESA INFIERNILLO,34.1
-102.2,18.8,LPSMC,MICH,LA PASTORIA,35.4
-100.9,18.5,CMNMC,MICH,CAIMANERA,35.9
-103.88,23.47,TCHZC,ZAC,CHALCHIHUITES,21.1
-102.6,19.9,JARMC,MICH,JARIPO,26.9
-102,20.35,LPDMC,MICH,LA PIEDAD,27.3
-114.83,31.03,SFELIPEOB,BC,OBSERVATORIO SAN FELIPE,24.5
-115.19,32.41,ENVOLEONob,BC,Observatorio Envoleón B.C. SMN*,25.2
-114.73,32.7,ALGODONESob,BC,Observatorio Algodones B.C. SMN*,25.7
-110.32,24.12,LAPAZob,BCS,Observatorio La Paz B.C.S. SMN*,27.5
-112.25,27.28,STAROSALIAob,BCS,Observatorio Sta. Rosalia B.C.S. SMN*,24.5
-90.5,19.83,CAMPECHEob,CAMP,Observatorio Campeche Camp. SMN*,27.9
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio Temosachic Chih. SMN*,19.4
-92.13,16.23,COMITANob,CHIS,Observatorio Comitán Chis. SMN*,24.8
-103.45,25.53,TORREONOB,COAH,OBSERVATORIO TORREON,23.4
-100.57,28.68,PNEGRASOB,COAH,OBSERVATORIO PIEDRAS NEGRAS,19.6
-98.75,20.12,PACHUCAob,HGO,Observatorio Pachuca Hgo. SMN*,21.2
-103.46,19.73,CDGUZMANob,JAL,Observatorio Cd. Guzman Jal. SMN*,27.3
-103.39,20.71,GUADALAJARAob,JAL,Observatorio Guadalajara Jal. SMN*,24.3
-99.71,19.29,TOLUCAob,MEX,Observatorio Toluca Méx. SMN*,19.2
-99.21,18.64,ZACATEPECob,MOR,Observatorio Zacatepec Mor. SMN*,30.8
-104.89,21.49,TEPICob,NAY,Observatorio Tepic Nay. SMN*,29.3
-100.3,25.73,MONTERREYob,NL,Observatorio Monterrey N.L. SMN*,20.0
-96.49,15.67,PANGELob,OAX,Observatorio Puerto Angel Oax. SMN*,32.0
-98.17,19.05,PUEBLAob,PUE,Observatorio Puebla Pue. SMN*,22.6
-100,21.92,RIOVERDEob,SLP,Observatorio Río Verde S.L.P. SMN*,23.0
-110.8,27.95,EMPALMEob,SON,Observatorio Empalme Son. SMN*,28.2
-97.1,18.85,ORIZABAOB,VER,OBSERVATORIO ORIZABA,20.2
-89.65,21.3,PROGRESOOB,YUC,OBSERVATORIO PROGRESO,26.8
-111.35,26.01,LORETOOB,BCS,OBSERVATORIO LORETO,27.7
-102.07,21.01,LACUNACFE,JAL,La Cuña Jal. CFE*,25.6
-107.4,24.8,CULIACANOB,SIN,OBSERVATORIO CULIACAN,29.5
-108.92,28.37,YC2SO,SON,YECORA (EHCA),21.6
-96.9,19.51,XALAPAOB,VER,OBSERVATORIO XALAPA,19.6
-99.27,19.52,PREMX,MEX,PRESA MADÍN MEX (EHCA),19.3
-105.8,27.45,VZRCH,CHIH,VALLE DE ZARAGOZA,21.1
-105.42,25.03,SPPDR,DGO,SANTIAGO PAPASQUIARO,25.3
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),27.9
-99.1,18.9,YAHMR,MOR,YAHUTEPEC,28.7
-102.37,20.04,ORAMC,MICH,ORANDINO,23.7
-109.18,25.91,AHMSI,SIN,AHOME,27.7
-104.89,21.35,LMORENOob,JAL,Observatorio Lagos de Moreno Jal. SMN*,24.5
-89.98,20.98,CICYC,YUC,CENTRO DE INV.CIENTIFICA,28.2
-109.68,30.37,PNACOZARIob,SON,Observatorio P. Nacozari Son. SMN*,21.9
-87.07,20.62,PDCQR,QROO,PLAYA DEL CARMEN,27.5
-97.31,20.45,PPNVC,VER,PAPANTLA,21.9
-101.36,20.28,LJIGJ,GTO,Las Jicamas Gto.,24.1
-93.55,17.35,SITALA,CHIS,Sitala Chis. GASIR*,23.0
-93.38,17.42,TAPILULA,CHIS,Tapilula Chis. GASIR*,22.0
-98.48,20.53,HUYVC,VER,HUAYACOCOTLA,17.0
-103.09,21.93,GJAZC,ZAC,GENERAL JOAQUIN AMARO,18.5
-99.1,16.96,AYUGR,GRO,AYUTLA,33.4
-96.39,19.26,LOFVC,VER,Loma Fina Ver.,27.3
-114.85,31.03,SFLBN,BC,SAN FELIPE,23.3
-92.4,15,HUECP,CHIS,Huehuetán Chis.,35.0
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,17.8
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,20.2
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,22.9
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,31.6
-103.36,20.58,PITJL,JAL,PIAE Toluquilla Jal.,25.6
-98.78,18.94,HUXMR,MOR,Huecahuaxco Mor.,21.4
-96.53,17.43,ATEOX,OAX,Atepec Oax.,20.8
-110.29,30.98,CNNSO,SON,Cananea Son.,22.5
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,22.2
-89.58,20.5,CANYC,YUC,CANTAMAYEN,27.0
-89.68,20.65,ABAYC,YUC,Abala Yuc.,25.0
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,21.8
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,22.7
-104.28,25.08,SLCDR,DGO,S. L. del Cordero Dgo.,23.0
-97.1,19.65,LVRVC,VER,LAS VIGAS DE RAMÍREZ,14.5
-110.14,29,MZTSO,SON,MAZATAN,30.5
-106.96,26.1,GYCCH,CHIH,GUADALUPE Y CALVO,15.4
-107.13,27.25,NRGCH,CHIH,NOROGACHIC,19.5
-104.8,24.51,CB2DR,DGO,CABORACA (HIDRO),17.6
-103.96,24,FV2DR,DGO,FRANCISCO VILLA,24.7
-104.65,24.23,PA2DR,DGO,PEÑA DEL AGUILA HIDRO,22.0
-89.54,20.39,TICYC,YUC,TICUL,26.7
-103.44,26.11,THODR,DGO,TLAHUALILO,21.8
-101.9,29,ZPTCL,COAH,ZAPATA,17.1
-99.2,19.31,CCH Sur,DF,CCH Sur,19.7
-99.2,19.4,ENP 4,DF,VIDAL CASTAÑEDA Y N.,20.0
